SNP	Chromosome	Position	Start_Position	End_Position	Gene_Name	Strand	Gene_Entrez_ID
rs10410833	19	45668327	45666186	45681495	TRAPPC6A	within	79090
rs10412857	19	45728695	45582546	45808541	MARK4	within	57787
rs10412857	19	45728695	45715879	45737469	EXOC3L2	within	90332
rs10413253	19	45628566	45582546	45808541	MARK4	within	57787
rs10413253	19	45628566	45594654	45651335	PPP1R37	within	284352
rs10420562	19	45592238	45582453	45594782	GEMIN7	within	79760
rs10420562	19	45592238	45582546	45808541	MARK4	within	57787
rs10424245	19	45729948	45582546	45808541	MARK4	within	57787
rs10424245	19	45729948	45715879	45737469	EXOC3L2	within	90332
rs1076986	19	45534041	45504688	45541452	RELB	within	5971
rs113728460	19	45726654	45582546	45808541	MARK4	within	57787
rs113728460	19	45726654	45715879	45737469	EXOC3L2	within	90332
rs115881343	19	45403216	45393826	45406946	TOMM40	within	10452
rs146871722	19	45726758	45582546	45808541	MARK4	within	57787
rs146871722	19	45726758	45715879	45737469	EXOC3L2	within	90332
rs148613044	19	45732972	45582546	45808541	MARK4	within	57787
rs148613044	19	45732972	45715879	45737469	EXOC3L2	within	90332
rs157590	19	45398716	45393826	45406946	TOMM40	within	10452
rs2288912	19	45449199	45445495	45452822	APOC4-APOC2	within	100533990
rs2288912	19	45449199	45445495	45452820	APOC4	within	346
rs2627641	19	45708758	45582546	45808541	MARK4	within	57787
rs28659974	19	1045765	1040102	1065571	ABCA7	within	10347
rs346761	19	45728576	45582546	45808541	MARK4	within	57787
rs346761	19	45728576	45715879	45737469	EXOC3L2	within	90332
rs346763	19	45729275	45582546	45808541	MARK4	within	57787
rs346763	19	45729275	45715879	45737469	EXOC3L2	within	90332
rs346773	19	45733201	45582546	45808541	MARK4	within	57787
rs346773	19	45733201	45715879	45737469	EXOC3L2	within	90332
rs34813869	19	51737121	51728320	51747115	CD33	within	945
rs35194062	19	45505177	45504688	45541452	RELB	within	5971
rs35194383	19	45516050	45504688	45541452	RELB	within	5971
rs35577563	19	45504349	45504688	45541452	RELB	upstream	5971
rs4147920	19	1062164	1040102	1065571	ABCA7	within	10347
rs439401	19	45414451	45409011	45412650	APOE	downstream	348
rs4803774	19	45450872	45445495	45452822	APOC4-APOC2	within	100533990
rs4803774	19	45450872	45445495	45452820	APOC4	within	346
rs4803774	19	45450872	45449243	45452822	APOC2	within	344
rs483082	19	45416178	45417504	45422606	APOC1	upstream	341
rs484195	19	45421877	45417504	45422606	APOC1	within	341
rs5117	19	45418790	45417504	45422606	APOC1	within	341
rs61463967	19	45730470	45582546	45808541	MARK4	within	57787
rs61463967	19	45730470	45715879	45737469	EXOC3L2	within	90332
rs7249082	19	45710276	45582546	45808541	MARK4	within	57787
rs73566293	19	45712679	45582546	45808541	MARK4	within	57787
rs769446	19	45408628	45409011	45412650	APOE	upstream	348
rs769450	19	45410444	45409011	45412650	APOE	within	348
rs78959900	19	45423636	45417504	45422606	APOC1	downstream	341
rs8110977	19	45733214	45582546	45808541	MARK4	within	57787
rs8110977	19	45733214	45715879	45737469	EXOC3L2	within	90332
rs9304646	19	45450408	45445495	45452822	APOC4-APOC2	within	100533990
rs9304646	19	45450408	45445495	45452820	APOC4	within	346
rs9304646	19	45450408	45449243	45452822	APOC2	within	344
rs10207708	2	127852056	127805603	127864931	BIN1	within	274
rs1060743	2	127826533	127805603	127864931	BIN1	within	274
rs11678744	2	127888784	127805603	127864931	BIN1	downstream	274
rs11680911	2	127888757	127805603	127864931	BIN1	downstream	274
rs11690153	2	127839534	127805603	127864931	BIN1	within	274
rs12994284	2	127874020	127805603	127864931	BIN1	downstream	274
rs13025717	2	127886158	127805603	127864931	BIN1	downstream	274
rs13400939	2	127869067	127805603	127864931	BIN1	downstream	274
rs1530047	2	127848936	127805603	127864931	BIN1	within	274
rs34745987	2	127875384	127805603	127864931	BIN1	downstream	274
rs35114168	2	127847930	127805603	127864931	BIN1	within	274
rs4663105	2	127891427	127805603	127864931	BIN1	downstream	274
rs55828408	2	127885624	127805603	127864931	BIN1	downstream	274
rs56193035	2	127891207	127805603	127864931	BIN1	downstream	274
rs6431219	2	127862133	127805603	127864931	BIN1	within	274
rs6720234	2	127882015	127805603	127864931	BIN1	downstream	274
rs6743470	2	127868435	127805603	127864931	BIN1	downstream	274
rs7575209	2	127884123	127805603	127864931	BIN1	downstream	274
rs10060071	5	139599097	139554227	139661637	CYSTM1	within	84418
rs113128948	6	32507129	32485120	32498064	HLA-DRB5	downstream	3127
rs113486815	6	32487588	32485120	32498064	HLA-DRB5	within	3127
rs139940358	6	32579444	32595956	32614839	HLA-DQA1	upstream	3117
rs17843620	6	32620800	32595956	32614839	HLA-DQA1	downstream	3117
rs28383362	6	32606864	32595956	32614839	HLA-DQA1	within	3117
rs28383363	6	32606868	32595956	32614839	HLA-DQA1	within	3117
rs28752494	6	32568240	32546546	32557625	HLA-DRB1	downstream	3123
rs28895050	6	32416906	32407619	32412823	HLA-DRA	downstream	3122
rs28895055	6	32417185	32407619	32412823	HLA-DRA	downstream	3122
rs28895056	6	32417189	32407619	32412823	HLA-DRA	downstream	3122
rs34117221	6	32568324	32546546	32557625	HLA-DRB1	downstream	3123
rs34855541	6	32559825	32546546	32557625	HLA-DRB1	downstream	3123
rs35380574	6	32560051	32546546	32557625	HLA-DRB1	downstream	3123
rs41268938	6	32606616	32595956	32614839	HLA-DQA1	within	3117
rs41268942	6	32607126	32595956	32614839	HLA-DQA1	within	3117
rs4711890	6	47606712	47445525	47594999	CD2AP	downstream	23607
rs4715019	6	47447041	47445525	47594999	CD2AP	within	23607
rs72508435	6	32487662	32485120	32498064	HLA-DRB5	within	3127
rs72850968	6	32416985	32407619	32412823	HLA-DRA	downstream	3122
rs73403125	6	32469215	32485120	32498064	HLA-DRB5	upstream	3127
rs75459649	6	32505390	32485120	32498064	HLA-DRB5	downstream	3127
rs79973795	6	32505443	32485120	32498064	HLA-DRB5	downstream	3127
rs9268730	6	32417079	32407619	32412823	HLA-DRA	downstream	3122
rs9269489	6	32542832	32546546	32557625	HLA-DRB1	upstream	3123
rs9269817	6	32549746	32546546	32557625	HLA-DRB1	within	3123
rs9270507	6	32559326	32546546	32557625	HLA-DRB1	downstream	3123
rs9270522	6	32559541	32546546	32557625	HLA-DRB1	downstream	3123
rs9270539	6	32559764	32546546	32557625	HLA-DRB1	downstream	3123
rs9270579	6	32561098	32546546	32557625	HLA-DRB1	downstream	3123
rs9270677	6	32566655	32546546	32557625	HLA-DRB1	downstream	3123
rs9270768	6	32568805	32546546	32557625	HLA-DRB1	downstream	3123
rs9270819	6	32569972	32546546	32557625	HLA-DRB1	downstream	3123
rs9270847	6	32570602	32546546	32557625	HLA-DRB1	downstream	3123
rs9270887	6	32571789	32546546	32557625	HLA-DRB1	downstream	3123
rs9270897	6	32571890	32546546	32557625	HLA-DRB1	downstream	3123
rs9270898	6	32571903	32546546	32557625	HLA-DRB1	downstream	3123
rs9271013	6	32574703	32546546	32557625	HLA-DRB1	downstream	3123
rs9271021	6	32574863	32546546	32557625	HLA-DRB1	downstream	3123
rs9271023	6	32574895	32546546	32557625	HLA-DRB1	downstream	3123
rs9271223	6	32579372	32595956	32614839	HLA-DQA1	upstream	3117
rs9271461	6	32588500	32595956	32614839	HLA-DQA1	upstream	3117
rs9272666	6	32608737	32595956	32614839	HLA-DQA1	within	3117
rs9273491	6	32628221	32627244	32636160	HLA-DQB1	within	3119
rs9273491	6	32628221	32627657	32628506	HLA-DQB1-AS1	within	106480429
rs9349415	6	47551861	47445525	47594999	CD2AP	within	23607
rs9349416	6	47551938	47445525	47594999	CD2AP	within	23607
rs9367284	6	47516369	47445525	47594999	CD2AP	within	23607
rs9395288	6	47598125	47445525	47594999	CD2AP	downstream	23607
rs9473123	6	47475339	47445525	47594999	CD2AP	within	23607
rs6464547	7	143083661	143078173	143088204	ZYX	within	7791
rs11787077	8	27465312	27454434	27472548	CLU	within	1191
rs1532277	8	27466181	27454434	27472548	CLU	within	1191
rs1532278	8	27466315	27454434	27472548	CLU	within	1191
rs17057043	8	27220310	27168999	27316903	PTK2B	within	2185
rs28834970	8	27195121	27168999	27316903	PTK2B	within	2185
rs4236673	8	27464929	27454434	27472548	CLU	within	1191
rs9331896	8	27467686	27454434	27472548	CLU	within	1191
